stdnt_id,schl_id,sample,grade,gender,poverty,race,minority,disabili,foodsecu,ses,kfall_ma,ksprng_m,g1fall_m,g1sprng_,g3Math,kfall_re,ksprng_r,g1fall_r,g1sprn_1,g3Read,schl_typ,s2kminor,pcnt_flu,pcnt_rlu,filter_$,racenew,passmath1,int
4763,5563,2,4,1,2,1,1,1, ,.41,31.15,36.6, ,71.76,106.92,35.6,46.18, ,68.05,110.34, , , , ,1,1,1,1
4680,5566,1,4,2,2,1,1,2, ,1.44,32.05,43.34, ,74.98,105.8,39.42,45.54, ,88.85,134.94, , , , ,1,1,1,1
13496,5574,2,4,1,2,1,1,1, ,.84,23.46,45.87,50.13,67.73,101.86,36.93,52.28,53.26,87.19,136.85, , , , ,1,1,1,1
11630,5727,1,4,2,1,5,2,1, , , ,29.7, , ,104.79, ,48.64, , ,128.16, , , , , ,5,1,1
12634,5738,1,4,2,2,1,1,2, ,.35,21.8,23.67, ,58.36,90.77,25.72,28.71, ,63.19,113.45, , , , ,1,1,0,1
9599,6001,1,4,2,2,4,2,1, , ,19.68,30.82, ,49.85,75.93,23.71,35.09, ,88.56,116.47, , , , , ,4,0,1
1,6005,2,4,2,2,1,1,2, ,1.37,39.55,53.2, ,68.38,102.67,42.93,74.89, ,129.63,143.97, , , , ,1,1,1,1
27,6028,2,4,2,1,5,2,2,2.6, ,17.63,23.33, ,51.36,96.67,24.47,28.44, ,74.56,114.14, , , , , ,5,0,1
1548,6039,2,4,1,2,2,2,1,2.6, ,12.4,31.01,24.35,39.04,80.79,17.72,19.98,23.56,50.94,106.27, , , , , ,2,0,1
1778,6040,2,4,1,2,1,1,1, , , ,30.65,38.77,46.09,62.54, ,31.82,33.92,60.86,100.5, , , , , ,1,0,1
13548,6054,1,4,2,2,2,2,2, ,.01,12.9,19.64, ,30.19,66.53,15.33,22.37, ,52.25,89.09, , , , ,1,2,0,1
5391,6175,1,4,1,1,3,1,2,11.1, , , , ,32.05,90.62, , , ,30.14,114.46, , , , , ,4,0,1
1589,6199,2,4,2,1,2,2,2, , ,9.9,28.04, ,59.93,97.35,17.83,29.49, ,70.93,103.42, , , , , ,2,0,1
